model,dataset,fraction,n_train,OA,AA,kappa,mac_f1,macro_auc,train_time_s
QHSA-Net,PaviaU,0.01,423,85.70821429414681,78.25412340721162,80.5092240164221,80.42970606160306,97.98782524843061,90.94336605072021
SSRN,PaviaU,0.01,423,97.81125303992634,95.58235287689189,97.09413914391223,96.12772406587926,99.91028925960033,149.08564352989197
3D-CNN-Only,PaviaU,0.01,423,77.96378060586026,53.87594799853318,69.14702902794869,50.20070918425581,96.76996671824324,72.75891327857971
QHSA-Net,PaviaU,0.02,849,92.396307868438,89.24407808154852,89.84460333197723,90.28995227814725,99.38150028990617,181.15961480140686
SSRN,PaviaU,0.02,849,99.11989887184869,98.1289563784938,98.8328759671924,98.50907349541382,99.98724020052678,286.9908912181854
3D-CNN-Only,PaviaU,0.02,849,83.61437737019105,69.75141057122735,77.55531205353606,70.40985200367794,98.36702918234064,137.55376386642456
QHSA-Net,PaviaU,0.05,2135,96.64132280209641,95.30030832360859,95.53613326382651,95.82238554727572,99.85554494331427,419.0213210582733
SSRN,PaviaU,0.05,2135,99.69488939740656,99.50441208868104,99.59570212870064,99.49872801630686,99.99642204248259,659.1017274856567
3D-CNN-Only,PaviaU,0.05,2135,90.00762776506484,84.96435567216706,86.57048423247713,85.41787757322783,99.15250027624464,318.33403182029724
QHSA-Net,PaviaU,0.1,4273,98.77671869724438,97.95478692621681,98.37826943155285,98.13839331667383,99.97384542393026,788.473869562149
SSRN,PaviaU,0.1,4273,99.89870919149158,99.78493610439675,99.86578579815702,99.80608384869248,99.99961377290593,1306.9851610660553
3D-CNN-Only,PaviaU,0.1,4273,93.43168064826118,90.1319298390037,91.25069469012365,90.42841083334191,99.59702118321778,640.7810389995575
QHSA-Net,IndianPines,0.01,102,43.42170099536809,19.675764439101922,30.344013524762104,16.32976078989573,88.47460791072588,38.25112771987915
SSRN,IndianPines,0.01,102,55.080319306198874,62.33960471801444,50.25202257414585,56.70452924795585,96.41017874711612,59.24785089492798
3D-CNN-Only,IndianPines,0.01,102,36.119049965507045,12.451151789387083,19.43062943789102,6.925245684465018,82.28665199801237,29.04702091217041
QHSA-Net,IndianPines,0.02,203,54.28031057137169,32.75504367584516,46.249720655396956,31.03809870405047,93.24278866450967,74.74685525894165
SSRN,IndianPines,0.02,203,88.28389408719889,84.68849670840339,86.69165672792379,82.16608940929268,99.3370424422744,114.42034149169922
3D-CNN-Only,IndianPines,0.02,203,36.15369301214414,12.461189935108465,19.363263176729596,6.99338905973622,85.46872752564065,58.064976930618286
QHSA-Net,IndianPines,0.05,507,73.91706015191953,53.907715196390214,70.0776630601159,55.32663713012386,97.82599390339628,179.29971075057983
SSRN,IndianPines,0.05,507,96.64339971258468,94.22955267914311,96.17528059178882,94.221854433766,99.91693197891472,289.68531823158264
3D-CNN-Only,IndianPines,0.05,507,43.04044344077192,18.653515873341085,30.23883124735598,13.753521811795956,90.1748629421491,147.34256649017334
QHSA-Net,IndianPines,0.1,1018,89.16693749322934,81.00483201014674,87.62575223723745,84.41657601576549,99.36043196054496,357.33678126335144
SSRN,IndianPines,0.1,1018,98.60253493662658,95.29893432251501,98.40739520265787,95.68093976117368,99.98549303513894,583.3076303005219
3D-CNN-Only,IndianPines,0.1,1018,50.07041490629401,26.859032581622607,40.726674221822755,22.881881855152255,92.20295291107549,291.3997356891632
QHSA-Net,Salinas,0.01,533,89.249197701321,92.6636131458508,88.00345128595245,92.96541423047418,99.50346236328203,193.47894477844238
SSRN,Salinas,0.01,533,96.02395701171729,97.59475737475476,95.57643204782711,97.2503371566587,99.90822695684352,311.94088077545166
3D-CNN-Only,Salinas,0.01,533,58.03045003358459,37.799755174716395,51.67124306226336,30.3611326908812,97.38942807339552,159.76699256896973
QHSA-Net,Salinas,0.02,1076,92.87316457127778,96.40798576158886,92.06576603178263,96.21505030910302,99.71584945806138,390.7230324745178
SSRN,Salinas,0.02,1076,98.2508057979756,99.16632790980654,98.05310038620661,99.10178265049399,99.97251261746,632.463048696518
3D-CNN-Only,Salinas,0.02,1076,68.97442180461049,60.441354631298466,64.78164072616366,57.80264782512171,98.55435606965355,316.59830474853516
QHSA-Net,Salinas,0.05,2697,96.292191631669,98.13840365130554,95.8726306332023,98.04007829310902,99.89507531193964,967.6492002010345
SSRN,Salinas,0.05,2697,99.19699797791259,99.59459448928422,99.1058555836834,99.57288462752,99.99471277233734,1575.281075000763
3D-CNN-Only,Salinas,0.05,2697,80.16215585627626,80.11774912826746,77.68301296715634,79.98572209591572,98.98797755032601,794.3766026496887
QHSA-Net,Salinas,0.1,5403,97.7363214710832,98.88523065792492,97.48001990751703,98.82785902227899,99.96504243263968,1903.1903171539307
SSRN,Salinas,0.1,5403,99.95690185937693,99.97851495527068,99.95201278765326,99.97818927898294,99.99999036338865,3169.1476106643677
3D-CNN-Only,Salinas,0.1,5403,86.63136723720396,85.94162362128294,85.05492312560338,85.72757543932585,99.33209866290684,1575.7553391456604
